r,s,R_classical,R_psi_computed,R_psi_theory,Simple_bound,Improvement_%,Theory_error_%
2,2,2,?,5,3,-,-
2,3,3,?,7,5,-,-
2,4,4,?,9,6,-,-
2,5,5,?,11,8,-,-
2,6,6,?,13,9,-,-
2,7,7,?,15,10,-,-
2,8,8,?,17,12,-,-
2,9,9,?,19,13,-,-
2,10,10,?,20,14,-,-
3,3,6,6,10,7,-,66.7%
3,4,9,8,13,9,11.1%,62.5%
3,5,14,9,16,11,35.7%,77.8%
3,6,18,?,19,13,-,-
3,7,23,?,21,14,-,-
3,8,28,?,24,16,-,-
3,9,36,?,26,18,-,-
3,10,?,?,28,19,-,-
4,4,18,11,17,12,38.9%,54.5%
4,5,25,13,20,14,48.0%,53.8%
4,6,?,?,24,16,-,-
4,7,?,?,27,18,-,-
4,8,?,?,30,20,-,-
4,9,?,?,32,22,-,-
4,10,?,?,35,24,-,-
5,5,48,16,24,17,66.7%,50.0%
5,6,?,?,28,19,-,-
5,7,?,?,32,22,-,-
5,8,?,?,35,24,-,-
5,9,?,?,38,26,-,-
5,10,?,?,42,28,-,-
6,6,?,?,32,22,-,-
6,7,?,?,36,25,-,-
6,8,?,?,40,27,-,-
6,9,?,?,44,30,-,-
6,10,?,?,48,32,-,-
7,7,?,?,41,28,-,-
7,8,?,?,45,31,-,-
7,9,?,?,49,33,-,-
7,10,?,?,53,36,-,-
8,8,?,?,50,34,-,-
8,9,?,?,54,37,-,-
8,10,?,?,59,40,-,-
9,9,?,?,59,40,-,-
9,10,?,?,64,43,-,-
10,10,?,?,69,47,-,-
